rank,name,mark,author,year
125,瑟堡的雨伞 Parapluies Cherbourg,7.8,雅克·德米,1964
126,天使之翼 Only Angels Have Wings,7.6,霍华德·霍克斯,1939
127,上升 Восхождение,8.1,拉莉萨·舍皮琴科,1977
128,芬妮亚历山大 Fanny,Alexander,8.7,英格玛·伯格曼,1982
129,女友礼拜五 His Girl Friday,7.8,霍华德·霍克斯,1940
130,愤怒的公牛 Raging Bull,8.4,马丁·斯科塞斯,1980
131,低俗小说 Pulp Fiction,8.9,昆汀·塔伦蒂诺,1994
132,阿拉伯的劳伦斯 Lawrence of Arabia,8.7,大卫·里恩,1962
133,美人计 Notorious,7.7,阿尔弗雷德·希区柯克,1946
134,生活多美好 It's a Wonderful Life,9.3,弗兰克·卡普拉,1946
135,沼泽 La Ciénaga,7.9,卢奎西亚·马特尔,2001
136,天堂的孩子 Les enfants du paradis,8.5,马塞尔·卡尔内,1945
137,日落黄沙 The Wild Bunch,8.3,萨姆·佩金帕,1969
138,桑比赞加 Sambizanga,,莎拉·马尔多罗,1973
139,天堂里的烦恼 Trouble in Paradise,8.2,恩斯特·刘别谦,1932
140,第七封印 Det sjunde inseglet,8.5,英格玛·伯格曼,1957
141,扒手 Pickpocket,8.3,罗伯特·布列松,1959
142,乡间一日 Une Partie de Campagne,7.9,让·雷诺阿,1946
143,深锁春光一院愁,7.6,道格拉斯·塞克,1955
144,葛楚 Gertrud,8.1,卡尔·西奥多·德莱叶,1964
145,寻找西瓜女 Watermelon Woman,7.9,谢丽尔·邓耶,1997
146,吸血鬼 Vampyr,7.8,卡尔·西奥多·德莱叶,1932
147,异形 Alien,8.3,雷德利·斯科特,1979
148,印度之歌 India Song,7.5,玛格丽特·杜拉斯,1975
149,大幻影 La grande illusion,8.4,让·雷诺阿,1937
150,唐人街 Chinatown,8.4,罗曼·波兰斯基,1974
151,双峰 第三季 Twin Peaks Season 3,8.9,大卫·林奇,2017
152,西印度群岛 West Indies,,梅德·翁多,1979
153,天堂之日 Days of Heaven,7.9,泰伦斯·马力克,1978
154,云遮星,7.7,李维克·伽塔克,1960
155,幸福 Le bonheur,8.3,阿涅斯·瓦尔达,1965
156,铁西区第一部分：工厂,8.6,王兵,2003
157,奥兰多 Orlando,8.2,莎莉·波特,1992
158,悲情城市,9.0,侯孝贤,1989
159,关于我母亲的一切 Todo mi madre,8.6,佩德罗·阿莫多瓦,1999
160,何处是我朋友的家,9.0,阿巴斯·基亚罗斯塔米,1987
161,马太福音 Il Matteo,8.4,皮埃尔·保罗·帕索里尼,1964
162,美国往事 Past America,9.2,赛尔乔·莱昂内,1984
163,阿玛柯德 Amarcord,8.7,费德里科·费里尼,1973
164,随心所欲 Vivre sa vie,8.5,让-吕克·戈达尔,1962
165,漩涡之外 Out of the Past,8.2,雅克·特纳,1947
166,生之欲 生きる,9.3,黑泽明,1952
167,被遗忘的人们 Los Olvidados,8.3,路易斯·布努埃尔,1950
168,马里昂巴德 Marienbad,8.3,阿伦·雷乃,1961
169,钱 L'argent,8.3,罗伯特·布列松,1983
170,一条安达鲁狗 Un chien andalou,8.2,路易斯·布努埃尔,1929
171,出局：禁止接触 Out 1, noli me,8.3,雅克·里维特/苏珊·席夫曼,1971
172,共生心理分类学S-psychotaxiplasm,7.3,威廉·格雷夫斯,1968
173,盗火线 Heat,8.5,迈克尔·曼,1995
174,皮囊之下 Under the Skin,6.3,乔纳森·格雷泽,2013
175,泯灭天使 El ángel exterminador,8.3,路易斯·布努埃尔,1962
176,低度开发回忆 Memoria subdesrollo,8.1,托马斯·古铁雷兹·阿莱,1968
177,黑水仙 Black Narcissus,7.7,迈克尔·鲍威尔,1947
178,红色沙漠 Il deserto rosso,8.0,米开朗基罗·安东尼奥尼,1964
179,黄金三镖客 buono brutto cattivo,9.2,赛尔乔·莱昂内,1966
180,孤独的妻子 Lonely Wife,7.9,萨蒂亚吉特·雷伊,1964
181,一封陌生女子的来信 Letter Unknown,8.0,马克斯·奥菲尔斯,1948
182,广岛之恋 Hiroshima mon amour,7.9,阿伦·雷乃,1959
183,伟大的安巴逊 Mag Ambersons,7.5,奥逊·威尔斯,1942
184,木兰花 Magnolia,8.2,保罗·托马斯·安德森,1999
185,柏林苍穹下 Der Himmel über Berlin,8.6,维姆·文德斯,1987
186,诗人悲歌 Pyaasa,7.9,古鲁·杜特,1957
187,乱,8.9,黑泽明,1985
188,贪婪 Greed,8.0,埃里克·冯·施特罗海姆,1924
189,爱的激流 Love Streams,8.1,约翰·卡萨维蒂,1984
190,秋刀鱼之味 秋刀魚の味,8.7,小津安二郎,1962
191,大河 The River,7.6,让·雷诺阿,1951
192,群鸟 The Birds,8.1,阿尔弗雷德·希区柯克,1963
193,柳媚花娇 Demoiselles Rochefort,8.0,雅克·德米,1967
194,"德州巴黎 Paris, Texas",8.5,维姆·文德斯,1984
195,巴黎在燃烧 Paris Is Burning,9.0,詹尼?利文斯通,1990
196,无头的女人 La mujer sin cabeza,7.2,卢奎西亚·马特尔,2008
197,能召回前世的布米叔叔（泰）,7.4,阿彼察邦·韦拉斯哈古,2010
198,生命之树 The Tree of Life,7.2,泰伦斯·马力克,2011
199,疯狂的麦克斯4 Mad Max: Fury Road,8.7,乔治·米勒,2015
200,扎马 Zama,7.2,卢奎西亚·马特尔,2017
201,战火 Paisà,8.2,罗伯托·罗西里尼,1946
202,诺斯费拉图 Nosferatu, ,8.2,F·W·茂瑙,1922
203,这样或那样 De cierta manera,7.7,萨拉·戈麦斯,1978
204,奇爱博士 Dr. Strangelove,8.9,斯坦利·库布里克,1964
205,双重赔偿 Double Indemnity,8.5,比利·怀尔德,1944
206,蚀 L'eclisse,8.4,米开朗基罗·安东尼奥尼,1962
207,我走我路 I Know Where I'm Going!,7.0,迈克尔·鲍威尔,1945
208,波长 Wavelength,7.1,迈克尔·斯诺,1967
209,百战将军 Colonel Blimp,7.8,迈克尔·鲍威尔,1943
210,界限 Limite,7.6,马里奥·皮索托,1931
211,夺宝奇兵 Raiders of Ark,7.9,史蒂文·斯皮尔伯格,1981
212,双峰：与火同行 Twin Peaks,7.9,大卫·林奇,1992
213,二十年后 Cara Morrer,7.6,爱德华多·库蒂尼奥,1984
214,忧郁症 Melancholia,7.1,拉斯·冯·提尔,2011
215,影子部队 L'armée des ombres,8.6,让-皮埃尔·梅尔维尔,1969
216,猎鹿人 The Deer Hunter,8.3,迈克尔·西米诺,1978
217,兰闺艳血 In a Lonely Place,7.9,尼古拉斯·雷,1950
218,阴风阵阵 Suspiria,7.6,达里奥·阿基多,1977
219,相见恨晚 Brief Encounter,8.0,大卫·里恩,1945
220,彗星美人 All About Eve,8.7,约瑟夫·L·曼凯维奇,1950
221,鸭羹 Duck Soup,7.2,莱奥·麦卡雷,1933
222,浮于碧海 У самого синего моря,6.9,鲍里斯·巴尔涅特/S.Mardanin,1936
223,绿光 Le rayon vert,8.1,埃里克·侯麦,1986
224,萤火虫之墓 火垂るの墓,8.7,高畑勋,1988
225,蓝 Blue,8.6,德里克·贾曼,1993
226,欲望号快车 Crash,7.0,大卫·柯南伯格,1996
227,春光乍泄 春光乍洩,9.0,王家卫,1997
228,海上花,8.2,侯孝贤,1998
229,吾往之 惊鸿一瞥（美）,8.7,乔纳斯·梅卡斯,2000
230,小妈妈 Petite maman,8.0,瑟琳·席安玛,2021
231,"我你他她 Je, tu, il, elle",7.8,香特尔·阿克曼,1974
232,侠女 俠女,8.6,胡金铨,1970
233,群众 The Crowd,8.3,金·维多,1928
234,拿破仑 Napoléon,8.6,阿贝尔·冈斯,1927
235,一九五一年的欧洲 Europa '51,8.0,罗伯托·罗西里尼,1952
236,燃火的时刻 La neocolonialismo,8.7,费尔南多·索拉纳斯/奥克塔维奥·赫蒂诺,1968
237,党同伐异 Intolerance,8.7,大卫·格里菲斯,1916
238,星球大战 Star Wars,8.5,乔治·卢卡斯,1977
239,呼喊与细语 Viskningar och rop,8.6,英格玛·伯格曼,1972
240,美国哈兰县 Harlan County,U.S.A.,8.7,芭芭拉·卡颇,1976
241,最卑贱的人 Der letzte Mann,8.7,F·W·茂瑙,1924
242,榅桲树阳光 El sol del membrillo,8.6,维克多·艾里斯,1992
243,樱桃的滋味（伊朗）,8.1,阿巴斯·基亚罗斯塔米,1997
244,鲸鱼马戏团 Werkmeiter harmóniák,8.8,贝拉·塔尔/阿尼亚斯·赫拉尼茨基,2000
245,旺妲的房间 No Quarto da Vanda,7.9,佩德罗·科斯塔,2000
246,默文·卡拉 Morvern Callar,7.6,琳恩·拉姆塞,2002
247,入侵者 L'intrus,7.3,克莱尔·德尼,2004
248,恋爱症候群(泰) ,7.9,阿彼察邦·韦拉斯哈古,2006
249,故乡之光 Nostalgia de la luz,8.4,帕特里西奥·古斯曼,2010
250,"远方的声音 Distant Voices, Still Lives",7.6,特伦斯·戴维斯,1988
